year,race_name,circuit,country,attendance_weekend,source,notes
2015,Australian Grand Prix,Albert Park,Australia,296000,GPDestinations (citing official),
2015,Malaysian Grand Prix,Sepang International Circuit,Malaysia,80604,GPDestinations (citing official),
2015,Chinese Grand Prix,Shanghai International Circuit,China,145000,GPDestinations (citing official),
2015,Bahrain Grand Prix,Bahrain International Circuit,Bahrain,90000,GPDestinations (citing official),
2015,Monaco Grand Prix,Circuit de Monaco,Monaco,200000,GPDestinations (citing official),
2015,Canadian Grand Prix,Circuit Gilles Villeneuve,Canada,244374,GPDestinations (citing official),
2015,Austrian Grand Prix,Red Bull Ring,Austria,120000,GPDestinations (citing official),
2015,British Grand Prix,Silverstone,UK,350000,GPDestinations / Silverstone Circuit,
2015,Hungarian Grand Prix,Hungaroring,Hungary,186000,GPDestinations (citing official),
2015,Belgian Grand Prix,Spa-Francorchamps,Belgium,165000,GPDestinations (citing official),
2015,Italian Grand Prix,Monza,Italy,154000,GPDestinations (citing official),
2015,Singapore Grand Prix,Marina Bay Street Circuit,Singapore,260912,GPDestinations (citing official),
2015,Japanese Grand Prix,Suzuka,Japan,165000,GPDestinations (citing official),
2015,Russian Grand Prix,Sochi Autodrom,Russia,149000,GPDestinations (citing official),
2015,United States Grand Prix,Circuit of the Americas,USA,224011,GPDestinations / COTA,
2015,Mexican Grand Prix,Autodromo Hermanos Rodriguez,Mexico,336174,GPDestinations (citing official),Mexico GP returns after 23-year absence
2016,Australian Grand Prix,Albert Park,Australia,271800,GPDestinations (citing official),
2016,Bahrain Grand Prix,Bahrain International Circuit,Bahrain,92000,GPDestinations (citing official),
2016,Chinese Grand Prix,Shanghai International Circuit,China,140000,GPDestinations (citing official),
2016,Russian Grand Prix,Sochi Autodrom,Russia,158000,GPDestinations (citing official),
2016,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Spain,165029,GPDestinations (citing official),
2016,Monaco Grand Prix,Circuit de Monaco,Monaco,200000,GPDestinations (citing official),
2016,Canadian Grand Prix,Circuit Gilles Villeneuve,Canada,300000,GPDestinations (citing official),
2016,European Grand Prix,Baku City Circuit,Azerbaijan,30000,GPDestinations (citing official),Inaugural Baku street race
2016,Austrian Grand Prix,Red Bull Ring,Austria,85000,GPDestinations (citing official),
2016,British Grand Prix,Silverstone,UK,350000,GPDestinations / Silverstone Circuit,
2016,Hungarian Grand Prix,Hungaroring,Hungary,176000,GPDestinations (citing official),
2016,Belgian Grand Prix,Spa-Francorchamps,Belgium,233730,GPDestinations (citing official),
2016,Italian Grand Prix,Monza,Italy,147500,GPDestinations (citing official),
2016,Singapore Grand Prix,Marina Bay Street Circuit,Singapore,218824,GPDestinations (citing official),
2016,Malaysian Grand Prix,Sepang International Circuit,Malaysia,88828,GPDestinations (citing official),
2016,Japanese Grand Prix,Suzuka,Japan,145000,GPDestinations (citing official),
2016,United States Grand Prix,Circuit of the Americas,USA,269889,GPDestinations / COTA,
2016,Mexican Grand Prix,Autodromo Hermanos Rodriguez,Mexico,339967,GPDestinations (citing official),
2016,Brazilian Grand Prix,Interlagos,Brazil,136410,GPDestinations (citing official),
2016,Abu Dhabi Grand Prix,Yas Marina Circuit,UAE,195000,GPDestinations (citing official),
2017,Australian Grand Prix,Albert Park,Australia,296600,GPDestinations (citing official),
2017,Chinese Grand Prix,Shanghai International Circuit,China,145000,GPDestinations (citing official),
2017,Bahrain Grand Prix,Bahrain International Circuit,Bahrain,93000,GPDestinations (citing official),
2017,Russian Grand Prix,Sochi Autodrom,Russia,150000,GPDestinations (citing official),
2017,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Spain,177984,GPDestinations (citing official),
2017,Monaco Grand Prix,Circuit de Monaco,Monaco,200000,GPDestinations (citing official),
2017,Canadian Grand Prix,Circuit Gilles Villeneuve,Canada,180000,GPDestinations (citing official),
2017,Azerbaijan Grand Prix,Baku City Circuit,Azerbaijan,71451,GPDestinations (citing official),
2017,Austrian Grand Prix,Red Bull Ring,Austria,145000,GPDestinations (citing official),
2017,British Grand Prix,Silverstone,UK,344500,GPDestinations / Silverstone Circuit,Liberty Media acquisition completed during this season
2017,Hungarian Grand Prix,Hungaroring,Hungary,199000,GPDestinations (citing official),
2017,Belgian Grand Prix,Spa-Francorchamps,Belgium,265000,GPDestinations (citing official),
2017,Italian Grand Prix,Monza,Italy,185000,GPDestinations (citing official),
2017,Singapore Grand Prix,Marina Bay Street Circuit,Singapore,260400,GPDestinations (citing official),
2017,Malaysian Grand Prix,Sepang International Circuit,Malaysia,110604,GPDestinations (citing official),Final Malaysian GP
2017,Japanese Grand Prix,Suzuka,Japan,137000,GPDestinations (citing official),
2017,United States Grand Prix,Circuit of the Americas,USA,258000,GPDestinations / COTA,
2017,Mexican Grand Prix,Autodromo Hermanos Rodriguez,Mexico,337043,GPDestinations (citing official),
2017,Brazilian Grand Prix,Interlagos,Brazil,141218,GPDestinations (citing official),
2017,Abu Dhabi Grand Prix,Yas Marina Circuit,UAE,195000,GPDestinations (citing official),
2018,Australian Grand Prix,Albert Park,Australia,295000,GPDestinations (citing official),
2018,Bahrain Grand Prix,Bahrain International Circuit,Bahrain,95000,GPDestinations (citing official),
2018,Azerbaijan Grand Prix,Baku City Circuit,Azerbaijan,94000,GPDestinations (citing official),
2018,French Grand Prix,Circuit Paul Ricard,France,150000,GPDestinations (citing official),
2018,British Grand Prix,Silverstone,UK,340000,GPDestinations (citing official),
2018,German Grand Prix,Hockenheim,Germany,165000,GPDestinations (citing official),
2018,Hungarian Grand Prix,Hungaroring,Hungary,210000,GPDestinations (citing official),
2018,Belgian Grand Prix,Spa-Francorchamps,Belgium,250000,GPDestinations (citing official),
2018,Singapore Grand Prix,Marina Bay Street Circuit,Singapore,263000,GPDestinations (citing official),
2018,Japanese Grand Prix,Suzuka,Japan,165000,GPDestinations (citing official),
2018,United States Grand Prix,Circuit of the Americas,USA,263160,GPDestinations (citing official),
2018,Mexican Grand Prix,Autodromo Hermanos Rodriguez,Mexico,334946,GPDestinations (citing official),
2018,Brazilian Grand Prix,Interlagos,Brazil,150000,GPDestinations (citing official),
2019,Australian Grand Prix,Albert Park,Australia,324100,GPDestinations (citing official),
2019,Bahrain Grand Prix,Bahrain International Circuit,Bahrain,97000,GPDestinations (citing official),
2019,Azerbaijan Grand Prix,Baku City Circuit,Azerbaijan,85000,GPDestinations (citing official),
2019,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Spain,160428,GPDestinations (citing official),
2019,Canadian Grand Prix,Circuit Gilles Villeneuve,Canada,307000,GPDestinations (citing official),
2019,French Grand Prix,Circuit Paul Ricard,France,135000,GPDestinations (citing official),
2019,Austrian Grand Prix,Red Bull Ring,Austria,203000,GPDestinations (citing official),
2019,British Grand Prix,Silverstone,UK,351000,GPDestinations / Silverstone Circuit,
2019,German Grand Prix,Hockenheim,Germany,153000,GPDestinations (citing official),
2019,Hungarian Grand Prix,Hungaroring,Hungary,230000,GPDestinations (citing official),
2019,Belgian Grand Prix,Spa-Francorchamps,Belgium,251864,GPDestinations (citing official),
2019,Italian Grand Prix,Monza,Italy,200000,GPDestinations (citing official),
2019,Singapore Grand Prix,Marina Bay Street Circuit,Singapore,268000,GPDestinations (citing official),
2019,Japanese Grand Prix,Suzuka,Japan,122000,GPDestinations (citing official),
2019,Mexican Grand Prix,Autodromo Hermanos Rodriguez,Mexico,345694,GPDestinations (citing official),
2019,United States Grand Prix,Circuit of the Americas,USA,268000,GPDestinations / COTA,
2019,Brazilian Grand Prix,Interlagos,Brazil,150307,GPDestinations (citing official),
2022,United States Grand Prix,Circuit of the Americas,USA,440000,GPDestinations / FOM confirmation,Best-attended race of 2022
2022,Australian Grand Prix,Albert Park,Australia,419114,GPDestinations / AGP Corporation,Post-COVID record at Albert Park
2022,British Grand Prix,Silverstone,UK,401000,GPDestinations / Silverstone Circuit,
2022,Mexican Grand Prix,Autodromo Hermanos Rodriguez,Mexico,395902,GPDestinations (citing official),
2022,Belgian Grand Prix,Spa-Francorchamps,Belgium,360000,GPDestinations / official,Record Spa attendance
2022,Canadian Grand Prix,Circuit Gilles Villeneuve,Canada,338000,GPDestinations (citing official),
2022,Italian Grand Prix,Monza,Italy,337000,GPDestinations / Monza official,Record Monza crowd +137K vs 2019
2022,Dutch Grand Prix,Circuit Zandvoort,Netherlands,305000,GPDestinations / Zandvoort Circuit,Sold out; Verstappen home race
2022,Austrian Grand Prix,Red Bull Ring,Austria,303000,GPDestinations (citing official),
2022,Singapore Grand Prix,Marina Bay Street Circuit,Singapore,302000,GPDestinations / Singapore Tourism Board,Post-COVID return
2022,Hungarian Grand Prix,Hungaroring,Hungary,290000,GPDestinations (citing official),
